architecture,comparison,candidate_component,reference_component,metric,mean_delta,ci_low,ci_high,bootstrap_n,ci_level,n_seeds,all_seed_deltas,supports_improvement_at_95ci
ResNet50,CBAM+mask-loss minus C0,CBAM+mask-loss,C0,specificity,0.031339031339031355,0.005698005698005751,0.056980056980057,5000,0.95,3,"[-0.008547008547008517, 0.03418803418803423, 0.06837606837606836]",True
ResNet50,CBAM+mask-loss minus C0,CBAM+mask-loss,C0,precision,0.012179205107213523,0.0025045870205883487,0.0222810074925612,5000,0.95,3,"[-0.003193718714825544, 0.011734141752353766, 0.02799719228411235]",True
ResNet50,CBAM+mask-loss minus C0,CBAM+mask-loss,C0,npv,0.00486531574574071,0.00010568735855167887,0.011665291760660376,5000,0.95,3,"[0.006206614944875399, 0.0006742520016855824, 0.007715080290661147]",True
ResNet50,CBAM+mask-loss minus C0,CBAM+mask-loss,C0,f1,0.008223797376510725,0.0022247922500907525,0.014551644636641268,5000,0.95,3,"[-0.0008377487406568962, 0.0075994280893127986, 0.017909712780876275]",True
ResNet50,CBAM+mask-loss minus C0,CBAM+mask-loss,C0,brier,-0.012669429381967972,-0.016437014518072453,-0.008899551395039562,5000,0.95,3,"[-0.010658049505134548, -0.004089710778270028, -0.02326052786249934]",True
ResNet50,CBAM+mask-loss minus C0,CBAM+mask-loss,C0,ece,-0.014654825895260534,-0.018398962520126582,-0.010824898369291932,5000,0.95,3,"[-0.010626609508807866, -0.00752323713058084, -0.025814631046392894]",True
ResNet50,CBAM+mask-loss minus CBAM-only,CBAM+mask-loss,CBAM-only,auroc,0.009345094601504863,0.004996301775147978,0.014004218715757199,5000,0.95,3,"[0.018797939951786136, 0.009916721455182964, -0.0006793776024545117]",True
ResNet50,CBAM+mask-loss minus CBAM-only,CBAM+mask-loss,CBAM-only,auprc,0.007830671453016821,0.003222366880871904,0.013132513341265941,5000,0.95,3,"[0.013314234214357512, 0.01312132374251751, -0.0029435435978245605]",True
ResNet50,CBAM+mask-loss minus CBAM-only,CBAM+mask-loss,CBAM-only,accuracy,-0.018162393162393136,-0.02777777777777779,-0.008547008547008517,5000,0.95,3,"[0.02564102564102566, -0.07852564102564097, -0.0016025641025640969]",False
ResNet50,CBAM+mask-loss minus CBAM-only,CBAM+mask-loss,CBAM-only,balanced_accuracy,-0.0256410256410257,-0.03817663817663819,-0.012820512820512884,5000,0.95,3,"[0.03247863247863236, -0.10641025641025637, -0.002991452991453092]",False
ResNet50,CBAM+mask-loss minus CBAM-only,CBAM+mask-loss,CBAM-only,sensitivity,0.004273504273504258,0.0008547008547008517,0.008547008547008517,5000,0.95,3,"[0.00512820512820511, 0.00512820512820511, 0.002564102564102555]",True
ResNet50,CBAM+mask-loss minus CBAM-only,CBAM+mask-loss,CBAM-only,specificity,-0.05555555555555556,-0.08119658119658117,-0.029914529914529957,5000,0.95,3,"[0.05982905982905984, -0.2179487179487179, -0.008547008547008628]",False
ResNet50,CBAM+mask-loss minus CBAM-only,CBAM+mask-loss,CBAM-only,precision,-0.02070188948268244,-0.030725547503386987,-0.010723417659095503,5000,0.95,3,"[0.024850502462442803, -0.08372571975491161, -0.0032304511555785176]",False
ResNet50,CBAM+mask-loss minus CBAM-only,CBAM+mask-loss,CBAM-only,npv,0.009960237652901771,0.0014934930596954834,0.0201233117030663,5000,0.95,3,"[0.014527408075795112, 0.009222731634502601, 0.0061305732484076]",True
ResNet50,CBAM+mask-loss minus CBAM-only,CBAM+mask-loss,CBAM-only,f1,-0.01100913836817615,-0.017165856238058764,-0.004651362774842065,5000,0.95,3,"[0.017070553028713298, -0.049250832408435086, -0.000847135724806658]",False
ResNet50,CBAM+mask-loss minus CBAM-only,CBAM+mask-loss,CBAM-only,brier,-0.0005534440259417952,-0.00450068262462762,0.003106792753794024,5000,0.95,3,"[-0.0024749336119687937, 0.006541139307605914, -0.005726537773462506]",False
ResNet50,CBAM+mask-loss minus CBAM-only,CBAM+mask-loss,CBAM-only,ece,0.00025555618807798774,-0.003521454792756266,0.004090033840929349,5000,0.95,3,"[0.008134896938617409, 0.0021656904465112703, -0.009533918820894716]",False
ResNet50,CBAM+mask-loss minus mask-loss-only,CBAM+mask-loss,mask-loss-only,auroc,0.0035338593030901735,0.0001935404339250687,0.006901755058806294,5000,0.95,3,"[-0.002744904667981496, 0.010146833223756424, 0.0031996493534955928]",True
ResNet50,CBAM+mask-loss minus mask-loss-only,CBAM+mask-loss,mask-loss-only,auprc,0.0023099330236586355,-0.0012691154638696021,0.0057236631146679404,5000,0.95,3,"[-0.004271452306308099, 0.008210188918209349, 0.002991062459074656]",False
ResNet50,CBAM+mask-loss minus mask-loss-only,CBAM+mask-loss,mask-loss-only,accuracy,-0.005876068376068355,-0.016025641025641007,0.003739316239316263,5000,0.95,3,"[0.004807692307692291, -0.024038461538461453, 0.0016025641025640969]",False
ResNet50,CBAM+mask-loss minus mask-loss-only,CBAM+mask-loss,mask-loss-only,balanced_accuracy,-0.0092592592592593,-0.02250712250712254,0.0034188034188034435,5000,0.95,3,"[0.005555555555555536, -0.0329059829059829, -0.00042735042735053685]",False
ResNet50,CBAM+mask-loss minus mask-loss-only,CBAM+mask-loss,mask-loss-only,sensitivity,0.004273504273504258,0.0008547008547008517,0.008547008547008517,5000,0.95,3,"[0.002564102564102555, 0.002564102564102555, 0.007692307692307665]",True
ResNet50,CBAM+mask-loss minus mask-loss-only,CBAM+mask-loss,mask-loss-only,specificity,-0.02279202279202284,-0.048468660968660864,0.002849002849002821,5000,0.95,3,"[0.008547008547008517, -0.06837606837606841, -0.008547008547008628]",False
ResNet50,CBAM+mask-loss minus mask-loss-only,CBAM+mask-loss,mask-loss-only,precision,-0.007600550996560466,-0.017888710010824628,0.002258393177072093,5000,0.95,3,"[0.0038923921426303743, -0.024172655030621826, -0.0025213901016899465]",False
ResNet50,CBAM+mask-loss minus mask-loss-only,CBAM+mask-loss,mask-loss-only,npv,0.01046412973979253,0.0019381048652761246,0.020776258942300556,5000,0.95,3,"[0.006535400083787168, 0.006535057862491422, 0.018321931273099]",True
ResNet50,CBAM+mask-loss minus mask-loss-only,CBAM+mask-loss,mask-loss-only,f1,-0.0030832094783598274,-0.009627748626660857,0.0032320711889381806,5000,0.95,3,"[0.0033787259387606516, -0.014343037650473844, 0.0017146832766337106]",False
ResNet50,CBAM+mask-loss minus mask-loss-only,CBAM+mask-loss,mask-loss-only,brier,-0.005968543930548474,-0.009759052574972536,-0.002187334146738737,5000,0.95,3,"[3.39673156887349e-05, -0.013451478551873258, -0.004488120555460898]",True
ResNet50,CBAM+mask-loss minus mask-loss-only,CBAM+mask-loss,mask-loss-only,ece,-0.006929691021259001,-0.010860329815465164,-0.003007764795906575,5000,0.95,3,"[-0.0019567562983586473, -0.015126521770770729, -0.0037057949946476265]",True
